VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC MUERR_SYS
SN: ASASSN-16hr 150 0.03094 0.03094 35.72764  0.15020  0.05940  0.04121
SN: AT2016cyt  150 0.03096 0.03096 35.54286  0.13980  0.05940  0.02970
SN: ASASSN-16fo 150 0.03100 0.03100 35.72531  0.14430  0.05930  0.03628
SN: PS15cwx    150 0.03100 0.03100 35.56752  0.14860  0.05930  0.04669
SN: 2007aj      65 0.03107 0.03107 35.77856  0.15990  0.05920  0.04093
SN: 2008gg       5 0.03114 0.03114 35.59166  0.15150  0.05900  0.03880
SN: ASASSN-15hg 150 0.03116 0.03116 35.74688  0.14710  0.05900  0.03470
SN: AT2017wb   150 0.03118 0.03118 35.72526  0.14590  0.05900  0.03185
SN: 2002hd      63 0.03134 0.03134 35.78433  0.16000  0.05870  0.02341
SN: ATLAS17axb 150 0.03134 0.03134 35.74825  0.14280  0.05870  0.05154
SN: 2006en      64 0.03162 0.03162 35.82269  0.15850  0.05820  0.01768
SN: 2008bq       5 0.03166 0.03166 35.78836  0.14960  0.05810  0.02693
SN: 2005lu      64 0.03170 0.03170 35.99057  0.14720  0.05800  0.07731
SN: 2007R       64 0.03174 0.03174 35.88827  0.16000  0.05790  0.03106
SN: ASASSN-16oz 150 0.03187 0.03187 35.64356  0.14510  0.05770  0.04294
SN: 2008gl      65 0.03272 0.03272 35.79925  0.14360  0.05620  0.02180
SN: 2006te      64 0.03290 0.03290 35.90286  0.15870  0.05590  0.02498
SN: 2004as      63 0.03296 0.03296 35.87128  0.15210  0.05580  0.03257
SN: ASASSN-15pr 150 0.03309 0.03309 36.08334  0.15860  0.05560  0.03199
SN: 2010ag      66 0.03335 0.03335 35.76411  0.14750  0.05520  0.04277
SN: 2005iq      64 0.03341 0.03341 36.12396  0.14170  0.05510  0.03649
SN: PS15bsq    150 0.03401 0.03401 35.97994  0.14070  0.05410  0.03873
SN: 2008af      64 0.03403 0.03403 35.81725  0.15980  0.05410  0.02830
SN: 2005be       5 0.03416 0.03416 36.01707  0.14950  0.05390  0.02865
SN: 2006gr      64 0.03428 0.03428 36.03718  0.14900  0.05370  0.04307
SN: ASASSN-16dw 150 0.03453 0.03453 35.90766  0.14320  0.05330  0.05037
SN: 2003iv      63 0.03491 0.03491 36.09449  0.15800  0.05280  0.04003
SN: ASASSN-15jl 150 0.03520 0.03520 36.05833  0.13630  0.05230  0.04807
SN: ASASSN-15tg 150 0.03529 0.03529 36.05844  0.14720  0.05220  0.05647
SN: PTSS-16efw 150 0.03576 0.03576 36.48108  0.14510  0.05150  0.04167
SN: ASASSN-16db 150 0.03578 0.03578 35.99412  0.14470  0.05150  0.03362
SN: PS15bbn    150 0.03598 0.03598 36.38566  0.14450  0.05120  0.04796
SN: ASASSN-15ss 150 0.03603 0.03603 36.22819  0.15070  0.05110  0.05710
SN: 2007cb      65 0.03664 0.03664 36.22056  0.16870  0.05030  0.03346
SN: 2008hj      65 0.03682 0.03682 36.09442  0.14120  0.05010  0.03101
SN: 2006mo      64 0.03702 0.03702 36.15276  0.15850  0.04980  0.03294
SN: 2002hu      63 0.03705 0.03705 36.13126  0.14650  0.04980  0.03210
SN: AT2016hns  150 0.03713 0.03713 36.17180  0.14270  0.04970  0.03805
SN: 2001eh      63 0.03725 0.03725 36.16189  0.14930  0.04950  0.03810
SN: 2007jg       5 0.03756 0.03756 36.28881  0.14450  0.04910  0.02580
SN: 2002eu      63 0.03790 0.03790 36.15253  0.20630  0.04870  0.01392
SN: 2008gb      65 0.03796 0.03796 36.25472  0.16510  0.04860  0.03106
SN: ASASSN-15bc 150 0.03801 0.03801 36.15855  0.13620  0.04850  0.03741
SN: 2007O       64 0.03818 0.03818 36.01424  0.15340  0.04830  0.02559
SN: AT2016cvw  150 0.03855 0.03855 36.13631  0.15290  0.04790  0.03886
SN: 2008051     65 0.03873 0.03873 36.18435  0.15690  0.04760  0.04300
SN: ASASSN-15np 150 0.03888 0.03888 36.11293  0.14440  0.04750  0.04438
SN: 2010dw      66 0.03902 0.03902 36.25396  0.16000  0.04730  0.03980
SN: ASASSN-15pn 150 0.03960 0.03960 36.37245  0.14200  0.04660  0.04268
SN: 2006ak      64 0.04006 0.04006 36.13683  0.16280  0.04610  0.02748
SN: PS16axi    150 0.04007 0.04007 36.26583  0.13850  0.04610  0.03367
SN: 2003fa      63 0.04056 0.04056 36.30975  0.14180  0.04550  0.02812
SN: PS15cze    150 0.04085 0.04085 36.64455  0.14650  0.04520  0.04307
SN: SN2017coa  150 0.04094 0.04094 36.58640  0.15280  0.04510  0.05968
SN: 2001az      63 0.04101 0.04101 36.49300  0.14680  0.04500  0.03263
SN: SN2016glz  150 0.04102 0.04102 36.19305  0.14380  0.04500  0.04561
SN: 2006cf      64 0.04268 0.04268 36.40229  0.15050  0.04330  0.02860
SN: AT2016htm  150 0.04281 0.04281 36.41551  0.13600  0.04320  0.03685
SN: 2007kk      65 0.04285 0.04285 36.39096  0.14900  0.04310  0.04849
SN: MASTERJ0134 150 0.04335 0.04335 36.45222  0.14310  0.04270  0.05634
SN: 2007nq      65 0.04349 0.04349 36.42116  0.13490  0.04250  0.01829
SN: ASASSN-15mg 150 0.04461 0.04461 36.51420  0.14400  0.04150  0.02509
SN: 2009lf      66 0.04483 0.04483 35.93699  0.15330  0.04130  0.03052
SN: PSNJ1204051 150 0.04544 0.04544 36.58759  0.14420  0.04070  0.03116
SN: 2005hc      64 0.04575 0.04575 36.68511  0.13420  0.04050  0.01720
SN: SN2016esh  150 0.04587 0.04587 36.27032  0.14750  0.04040  0.02970
SN: 2008050     65 0.04625 0.04625 36.42576  0.18600  0.04000  0.02925
SN: 2005lz      64 0.04643 0.04643 36.36933  0.14180  0.03990  0.03861
SN: PS16fa     150 0.04710 0.04710 36.72897  0.13470  0.03930  0.02894
SN: PS15aii    150 0.04763 0.04763 36.75923  0.13550  0.03890  0.03421
SN: ATLAS16agv 150 0.04824 0.04824 36.68882  0.13580  0.03840  0.05304
SN: ASASSN-15pm 150 0.04843 0.04843 36.57068  0.14100  0.03830  0.03999
SN: 2006cq      64 0.04944 0.04944 36.71263  0.15700  0.03750  0.02196
SN: PS16el     150 0.04952 0.04952 36.66006  0.14320  0.03750  0.02114
SN: PS16dnp    150 0.05007 0.05007 37.06998  0.13720  0.03700  0.06799
SN: PS15brr    150 0.05047 0.05047 36.80199  0.15320  0.03680  0.04416
SN: 2008hu       5 0.05052 0.05052 36.86769  0.13610  0.03670  0.01456
SN: ASASSN-17eb 150 0.05094 0.05094 36.55753  0.14810  0.03640  0.05050
SN: PS16fbb    150 0.05117 0.05117 37.06374  0.13870  0.03630  0.06157
SN: PS16evk    150 0.05265 0.05265 37.09756  0.15600  0.03530  0.05042
SN: AT2016htn  150 0.05300 0.05300 36.92527  0.14320  0.03500  0.03874
SN: PS16n      150 0.05321 0.05321 36.96292  0.14490  0.03490  0.04338
SN: 2007ar      64 0.05352 0.05352 36.94420  0.18190  0.03470  0.01818
SN: 2008ac      65 0.05363 0.05363 37.07451  0.18400  0.03460  0.04468
SN: SN2017cpu  150 0.05503 0.05503 36.82317  0.15480  0.03380  0.04387
SN: PS16bby    150 0.05526 0.05526 36.90422  0.14610  0.03370  0.03486
SN: AT2017oz   150 0.05615 0.05615 36.99293  0.14590  0.03310  0.03829
SN: PS16aer    150 0.05723 0.05723 37.15126  0.13370  0.03250  0.03501
SN: SN2016gmb  150 0.05861 0.05861 37.17088  0.14890  0.03180  0.06614
SN: 2001ah      63 0.05886 0.05886 37.16028  0.18590  0.03160  0.03329
SN: SN2016aqb  150 0.06399 0.06399 37.25946  0.13540  0.02920  0.04206
SN: PS15cms    150 0.06645 0.06645 37.54400  0.15760  0.02810  0.04181
SN: AT2016aj   150 0.06845 0.06845 37.37536  0.15540  0.02730  0.02983
SN: PTSS17-niq 150 0.06924 0.06924 37.49001  0.14840  0.02700  0.03372
SN: PS15bwh    150 0.07145 0.07145 37.42613  0.14000  0.02620  0.04588
SN: PS15bif    150 0.07822 0.07822 37.75699  0.11580  0.02400  0.02252
SN: 1780047     10 0.10275 0.10275 38.24860  0.16550  0.00000  0.04985
SN: 1317612     10 0.10442 0.10442 38.39187  0.14870  0.00000  0.03880
SN: 1336975     10 0.11048 0.11048 38.30996  0.16640  0.00000  0.03820
SN: 1777356     10 0.11669 0.11669 38.51347  0.15930  0.00000  0.02806
SN: 1833339     10 0.13051 0.13051 38.92225  0.13900  0.00000  0.03065
SN: 1317666     10 0.14137 0.14137 39.26439  0.13260  0.00000  0.02845
SN: 1293758     10 0.14812 0.14812 39.33267  0.13370  0.00000  0.03024
SN: 1277173     10 0.14941 0.14941 39.54862  0.17260  0.00000  0.03537
SN: 1948204     10 0.14954 0.14954 39.25912  0.13280  0.00000  0.02398
SN: 1247420     10 0.15027 0.15027 39.20267  0.13410  0.00000  0.02954
SN: 1299775     10 0.16008 0.16008 39.11724  0.13850  0.00000  0.08221
SN: 1578103     10 0.16009 0.16009 39.34456  0.13560  0.00000  0.06996
SN: 1250034     10 0.16086 0.16086 39.40797  0.13780  0.00000  0.03434
SN: 1422097     10 0.16332 0.16332 39.44169  0.13950  0.00000  0.02580
SN: 1770639     10 0.17623 0.17623 40.21922  0.17490  0.00000  0.02928
