VARNAMES: CID IDSURVEY zCMB zHEL MU MUERR MUERR_VPEC
SN: PSNJ0859349 150 0.02938 0.02938 35.55380  0.12500  0.06250
SN: 2006qo      64 0.02939 0.02939 35.50620  0.13430  0.06250
SN: ASASSN-16fs 150 0.02944 0.02944 35.47400  0.12890  0.06240
SN: 2003ch      63 0.02951 0.02951 35.77950  0.13560  0.06230
SN: ASASSN-16aj 150 0.02953 0.02953 35.54070  0.12920  0.06220
SN: ASASSN-16br 150 0.02956 0.02956 35.66160  0.12860  0.06220
SN: AT2017zd   150 0.02969 0.02969 35.48000  0.12880  0.06190
SN: ATLAS17ajn 150 0.02978 0.02978 35.68190  0.13370  0.06170
SN: 2002ck      63 0.02987 0.02987 35.68600  0.13860  0.06150
SN: Gaia16bba  150 0.02990 0.02990 35.55860  0.13010  0.06150
SN: 2004ef      64 0.03012 0.03012 35.62040  0.13110  0.06100
SN: ASASSN-15nq 150 0.03023 0.03023 35.73000  0.12670  0.06080
SN: AT2017lm   150 0.03031 0.03031 35.74480  0.12960  0.06060
SN: ASASSN-16fo 150 0.03036 0.03036 35.65140  0.12620  0.06050
SN: AT2016cyt  150 0.03059 0.03059 35.50420  0.12510  0.06010
SN: ASASSN-15uw 150 0.03076 0.03076 35.56730  0.12660  0.05980
SN: ASASSN-16hr 150 0.03083 0.03083 35.78860  0.12650  0.05960
SN: PS15cwx    150 0.03086 0.03086 35.55980  0.13030  0.05960
SN: 2008gg       5 0.03114 0.03114 35.68520  0.13340  0.05900
SN: AT2017wb   150 0.03117 0.03117 35.76690  0.12430  0.05900
SN: 2007bd      64 0.03120 0.03120 35.76290  0.12960  0.05890
SN: 2006bt      64 0.03121 0.03121 35.64620  0.13150  0.05890
SN: ASASSN-15hg 150 0.03143 0.03143 35.78680  0.12840  0.05850
SN: ATLAS17axb 150 0.03143 0.03143 35.78280  0.12910  0.05850
SN: CSS160428  150 0.03148 0.03148 35.83390  0.12490  0.05840
SN: 2006en      64 0.03162 0.03162 35.84690  0.13480  0.05820
SN: 2008bq       5 0.03166 0.03166 35.82540  0.13370  0.05810
SN: 2007R       64 0.03174 0.03174 35.89480  0.12920  0.05790
SN: ASASSN-16oz 150 0.03192 0.03192 35.65910  0.13740  0.05760
SN: 2006az      64 0.03201 0.03201 35.69130  0.12870  0.05750
SN: AT2017po   150 0.03255 0.03255 35.74310  0.13200  0.05650
SN: 2007ux      65 0.03264 0.03264 35.86640  0.13070  0.05640
SN: ASASSN-15pr 150 0.03264 0.03264 36.06070  0.13910  0.05640
SN: 2004gc       5 0.03267 0.03267 35.59400  0.13400  0.05630
SN: 2008gl      65 0.03276 0.03276 35.82000  0.12830  0.05620
SN: SN2016hpx  150 0.03282 0.03282 35.77270  0.12370  0.05610
SN: SN2017cii  150 0.03289 0.03289 35.98080  0.12630  0.05590
SN: 2006te      64 0.03290 0.03290 35.84120  0.13300  0.05590
SN: 2004as      63 0.03296 0.03296 35.95590  0.12870  0.05580
SN: ASASSN-16bc 150 0.03298 0.03298 35.88660  0.12350  0.05580
SN: 2008gp       5 0.03333 0.03333 35.83430  0.12960  0.05520
SN: 2010ag      66 0.03335 0.03335 35.66730  0.13140  0.05520
SN: 2005iq      64 0.03341 0.03341 36.07420  0.12730  0.05510
SN: PS15bsq    150 0.03371 0.03371 35.97440  0.12320  0.05460
SN: 2004L       63 0.03373 0.03373 35.94940  0.14240  0.05460
SN: 2003cq      63 0.03378 0.03378 35.84600  0.13980  0.05450
SN: 2006S       64 0.03393 0.03393 36.07800  0.12830  0.05430
SN: 2006gr      64 0.03428 0.03428 36.11280  0.13200  0.05370
SN: ASASSN-16dw 150 0.03437 0.03437 35.88050  0.12210  0.05360
SN: ATLAS17ajs 150 0.03451 0.03451 36.22560  0.12140  0.05340
SN: 2003kc      63 0.03479 0.03479 35.93440  0.13920  0.05290
SN: 2003iv      63 0.03491 0.03491 36.08160  0.13780  0.05280
SN: ASASSN-15jl 150 0.03512 0.03512 35.99930  0.12000  0.05250
SN: 2005eu      64 0.03516 0.03516 36.09170  0.12570  0.05240
SN: ASASSN-15tg 150 0.03529 0.03529 36.04190  0.12470  0.05220
SN: PTSS-16efw 150 0.03568 0.03568 36.40350  0.13020  0.05160
SN: AT2016fbk  150 0.03576 0.03576 36.13150  0.12490  0.05150
SN: ASASSN-15mi 150 0.03585 0.03585 35.64300  0.12290  0.05140
SN: ASASSN-15ss 150 0.03599 0.03599 36.18930  0.12850  0.05120
SN: PS15bbn    150 0.03624 0.03624 36.45310  0.12260  0.05090
SN: ASASSN-15lu 150 0.03635 0.03635 36.23330  0.12180  0.05070
SN: 2002hu      63 0.03651 0.03651 36.03100  0.12550  0.05050
SN: 2008hj      65 0.03682 0.03682 36.04640  0.12290  0.05010
SN: 2006mo      64 0.03702 0.03702 36.11880  0.13210  0.04980
SN: 2001eh      63 0.03725 0.03725 36.13450  0.12850  0.04950
SN: ASASSN-16db 150 0.03730 0.03730 35.99690  0.12220  0.04940
SN: AT2016hns  150 0.03740 0.03740 36.16040  0.12530  0.04930
SN: ASASSN-15bc 150 0.03753 0.03753 36.23080  0.11610  0.04910
SN: 2007jg       5 0.03756 0.03756 36.38450  0.12600  0.04910
SN: 2007O       64 0.03786 0.03786 36.06360  0.13130  0.04870
SN: AT2016cvw  150 0.03787 0.03787 36.31510  0.12290  0.04870
SN: 2008gb      65 0.03796 0.03796 36.21330  0.13390  0.04860
